"Date","Number 1","Number 2","Number 3","Number 4","Number 5","Megaball","Megaplier","Jackpot"
"07/13/2018","39","22","68","21","59","2","2","340000000.0000"
"07/10/2018","28","56","70","1","17","14","3","306000000.0000"
"07/06/2018","56","50","46","2","10","16","3","283000000.0000"
"07/03/2018","68","13","45","35","49","23","2","256000000.0000"
"06/29/2018","68","49","32","2","47","23","4","232000000.0000"
"06/26/2018","39","25","60","29","17","19","2","212000000.0000"
"06/22/2018","44","11","6","2","27","20","2","192000000.0000"
"06/19/2018","13","28","11","70","65","14","3","175000000.0000"
"06/15/2018","37","51","11","1","47","6","2","161000000.0000"
"06/12/2018","70","3","5","1","8","3","2","144000000.0000"
"06/08/2018","33","56","30","14","44","13","2","127000000.0000"
"06/05/2018","48","52","33","41","22","4","2","110000000.0000"
"06/01/2018","24","52","62","5","66","17","3","97000000.0000"
"05/29/2018","58","2","67","11","55","2","3","84000000.0000"
"05/25/2018","68","64","51","11","14","25","4","73000000.0000"
"05/22/2018","36","16","21","17","48","9","3","60000000.0000"
"05/18/2018","53","9","26","64","66","11","2","55000000.0000"
"05/15/2018","44","49","21","61","34","21","2","50000000.0000"
"05/11/2018","38","14","40","70","53","22","3","45000000.0000"
"05/08/2018","64","67","39","8","15","13","2","40000000.0000"
"05/04/2018","10","4","12","18","5","21","4","143000000.0000"
"05/01/2018","55","70","2","20","7","1","4","126000000.0000"
"04/27/2018","38","2","63","66","29","11","2","111000000.0000"
"04/24/2018","48","32","3","19","31","10","3","96000000.0000"
"04/20/2018","32","45","1","18","15","4","2","80000000.0000"
"04/17/2018","47","44","34","65","12","22","4","67000000.0000"
"04/13/2018","8","9","42","32","59","10","4","55000000.0000"
"04/10/2018","43","31","5","13","53","20","2","50000000.0000"
"04/06/2018","33","51","67","16","54","20","4","45000000.0000"
"04/03/2018","39","4","29","62","42","14","2","40000000.0000"
"03/30/2018","59","46","28","11","31","1","3","521000000.0000"
"03/27/2018","25","56","7","43","59","13","3","458000000.0000"
"03/23/2018","59","53","23","4","8","17","3","421000000.0000"
"03/20/2018","14","38","51","70","64","9","3","377000000.0000"
"03/16/2018","26","52","33","1","13","11","3","345000000.0000"
"03/13/2018","6","30","61","60","58","17","5","318000000.0000"
"03/09/2018","18","46","17","66","7","22","4","290000000.0000"
"03/06/2018","1","4","39","35","26","22","5","265000000.0000"
"03/02/2018","60","64","28","24","42","8","4","243000000.0000"
"02/27/2018","10","38","17","21","43","23","3","222000000.0000"
"02/23/2018","13","58","11","19","7","9","4","204000000.0000"
"02/20/2018","24","43","17","19","23","14","3","185000000.0000"
"02/16/2018","38","48","58","14","53","16","3","168000000.0000"
"02/13/2018","5","46","15","49","12","1","4","153000000.0000"
"02/09/2018","28","41","34","47","46","14","3","136000000.0000"
"02/06/2018","25","14","48","17","58","25","3","120000000.0000"
"02/02/2018","17","40","4","1","14","4","3","104000000.0000"
"01/30/2018","29","57","49","42","41","24","3","89000000.0000"
"01/26/2018","27","38","43","16","10","1","4","76000000.0000"
"01/23/2018","31","30","55","6","2","7","4","63000000.0000"
"01/19/2018","49","3","23","66","17","23","3","55000000.0000"
"01/16/2018","3","29","59","23","11","18","3","50000000.0000"
"01/12/2018","46","17","33","60","18","24","4","45000000.0000"
"01/09/2018","16","29","67","31","65","23","3","40000000.0000"
"01/05/2018","70","59","30","28","39","10","3","450000000.0000"
"01/02/2018","1","42","64","47","70","22","4","361000000.0000"
"12/29/2017","28","4","10","62","18","7","2","306000000.0000"
"12/26/2017","41","12","10","38","20","25","4","277000000.0000"
"12/22/2017","30","33","42","1","20","16","4","253000000.0000"
"12/19/2017","37","39","58","28","42","2","3","223000000.0000"
"12/15/2017","4","44","57","36","12","19","4","208000000.0000"
"12/12/2017","24","25","23","27","8","9","2","191000000.0000"
"12/08/2017","46","6","60","37","70","24","2","176000000.0000"
"12/05/2017","15","42","67","14","37","22","4","160000000.0000"
"12/01/2017","41","22","59","40","16","8","4","145000000.0000"
"11/28/2017","10","47","17","51","61","5","2","132000000.0000"
"11/24/2017","16","36","54","61","64","22","3","119000000.0000"
"11/21/2017","7","3","27","50","22","3","3","106000000.0000"
"11/17/2017","26","55","70","58","3","15","4","95000000.0000"
"11/14/2017","14","1","21","22","28","19","3","82000000.0000"
"11/10/2017","6","38","42","23","58","24","2","71000000.0000"
"11/07/2017","1","68","69","60","54","11","4","59000000.0000"
"11/03/2017","69","10","61","42","22","3","2","48000000.0000"
"10/31/2017","31","53","6","28","52","12","4","40000000.0000"
"10/27/2017","51","41","27","52","17","13","5","30000000.0000"
"10/24/2017","24","64","34","56","20","6","4","25000000.0000"
"10/20/2017","63","6","73","66","23","9","2","20000000.0000"
"10/17/2017","49","70","56","31","45","11","5","15000000.0000"
"10/13/2017","31","7","26","2","18","12","2","43000000.0000"
"10/10/2017","16","7","61","62","24","2","5","36000000.0000"
